10/26-19:44:11.811932, 2, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:366:11, allow
10/26-19:44:11.811932, 2, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:29456:3, allow
10/26-19:44:11.811932, 2, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:384:8, allow
10/26-19:44:11.811957, 3, ICMP, raw, 84, S2C, 172.17.0.2:0, 172.17.0.1:0, 1:408:8, allow
10/26-19:44:12.824957, 4, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:366:11, allow
10/26-19:44:12.824957, 4, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:29456:3, allow
10/26-19:44:12.824957, 4, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:384:8, allow
10/26-19:44:12.824982, 5, ICMP, raw, 84, S2C, 172.17.0.2:0, 172.17.0.1:0, 1:408:8, allow
10/26-19:44:13.848729, 6, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:366:11, allow
10/26-19:44:13.848729, 6, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:29456:3, allow
10/26-19:44:13.848729, 6, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:384:8, allow
10/26-19:44:13.848759, 7, ICMP, raw, 84, S2C, 172.17.0.2:0, 172.17.0.1:0, 1:408:8, allow
10/26-19:44:14.872716, 8, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:366:11, allow
10/26-19:44:14.872716, 8, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:29456:3, allow
10/26-19:44:14.872716, 8, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:384:8, allow
10/26-19:44:14.872747, 9, ICMP, raw, 84, S2C, 172.17.0.2:0, 172.17.0.1:0, 1:408:8, allow
10/26-19:44:15.896702, 10, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:366:11, allow
10/26-19:44:15.896702, 10, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:29456:3, allow
10/26-19:44:15.896702, 10, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:384:8, allow
10/26-19:44:15.896732, 11, ICMP, raw, 84, S2C, 172.17.0.2:0, 172.17.0.1:0, 1:408:8, allow
10/26-19:44:16.920732, 12, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:366:11, allow
10/26-19:44:16.920732, 12, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:29456:3, allow
10/26-19:44:16.920732, 12, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:384:8, allow
10/26-19:44:16.920764, 13, ICMP, raw, 84, S2C, 172.17.0.2:0, 172.17.0.1:0, 1:408:8, allow
10/26-19:44:17.944687, 18, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:366:11, allow
10/26-19:44:17.944687, 18, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:29456:3, allow
10/26-19:44:17.944687, 18, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:384:8, allow
10/26-19:44:17.944712, 19, ICMP, raw, 84, S2C, 172.17.0.2:0, 172.17.0.1:0, 1:408:8, allow
10/26-19:44:18.968677, 20, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:366:11, allow
10/26-19:44:18.968677, 20, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:29456:3, allow
10/26-19:44:18.968677, 20, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:384:8, allow
10/26-19:44:18.968702, 21, ICMP, raw, 84, S2C, 172.17.0.2:0, 172.17.0.1:0, 1:408:8, allow
10/26-19:44:19.992723, 22, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:366:11, allow
10/26-19:44:19.992723, 22, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:29456:3, allow
10/26-19:44:19.992723, 22, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:384:8, allow
10/26-19:44:19.992755, 23, ICMP, raw, 84, S2C, 172.17.0.2:0, 172.17.0.1:0, 1:408:8, allow
10/26-19:44:21.020682, 24, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:366:11, allow
10/26-19:44:21.020682, 24, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:29456:3, allow
10/26-19:44:21.020682, 24, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:384:8, allow
10/26-19:44:21.020704, 25, ICMP, raw, 84, S2C, 172.17.0.2:0, 172.17.0.1:0, 1:408:8, allow
10/26-19:44:22.040730, 26, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:366:11, allow
10/26-19:44:22.040730, 26, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:29456:3, allow
10/26-19:44:22.040730, 26, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:384:8, allow
10/26-19:44:22.040759, 27, ICMP, raw, 84, S2C, 172.17.0.2:0, 172.17.0.1:0, 1:408:8, allow
10/26-19:44:23.064825, 28, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:366:11, allow
10/26-19:44:23.064825, 28, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:29456:3, allow
10/26-19:44:23.064825, 28, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:384:8, allow
10/26-19:44:23.064857, 29, ICMP, raw, 84, S2C, 172.17.0.2:0, 172.17.0.1:0, 1:408:8, allow
10/26-19:44:24.088656, 30, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:366:11, allow
10/26-19:44:24.088656, 30, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:29456:3, allow
10/26-19:44:24.088656, 30, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:384:8, allow
10/26-19:44:24.088682, 31, ICMP, raw, 84, S2C, 172.17.0.2:0, 172.17.0.1:0, 1:408:8, allow
10/26-19:44:25.112702, 32, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:366:11, allow
10/26-19:44:25.112702, 32, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:29456:3, allow
10/26-19:44:25.112702, 32, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:384:8, allow
10/26-19:44:25.112731, 33, ICMP, raw, 84, S2C, 172.17.0.2:0, 172.17.0.1:0, 1:408:8, allow
10/26-19:44:26.136920, 34, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:366:11, allow
10/26-19:44:26.136920, 34, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:29456:3, allow
10/26-19:44:26.136920, 34, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:384:8, allow
10/26-19:44:26.136953, 35, ICMP, raw, 84, S2C, 172.17.0.2:0, 172.17.0.1:0, 1:408:8, allow
10/26-19:44:27.160743, 36, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:366:11, allow
10/26-19:44:27.160743, 36, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:29456:3, allow
10/26-19:44:27.160743, 36, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:384:8, allow
10/26-19:44:27.160782, 37, ICMP, raw, 84, S2C, 172.17.0.2:0, 172.17.0.1:0, 1:408:8, allow
10/26-19:44:28.184922, 38, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:366:11, allow
10/26-19:44:28.184922, 38, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:29456:3, allow
10/26-19:44:28.184922, 38, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:384:8, allow
10/26-19:44:28.184953, 39, ICMP, raw, 84, S2C, 172.17.0.2:0, 172.17.0.1:0, 1:408:8, allow
10/26-19:44:29.208713, 40, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:366:11, allow
10/26-19:44:29.208713, 40, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:29456:3, allow
10/26-19:44:29.208713, 40, ICMP, raw, 84, C2S, 172.17.0.1:0, 172.17.0.2:0, 1:384:8, allow
10/26-19:44:29.208744, 41, ICMP, raw, 84, S2C, 172.17.0.2:0, 172.17.0.1:0, 1:408:8, allow
